"Time","xiaomi","samsung","iphone","motorola"
"2021-03-01",28,49,34,12
"2021-04-01",28,48,36,11
"2021-05-01",30,47,36,12
"2021-06-01",31,55,38,12
"2021-07-01",31,53,38,13
"2021-08-01",29,53,39,12
"2021-09-01",24,45,48,11
"2021-10-01",26,47,46,11
"2021-11-01",27,49,49,12
"2021-12-01",37,60,52,14
"2022-01-01",31,56,55,13
"2022-02-01",28,50,46,11
"2022-03-01",29,50,46,11
"2022-04-01",30,51,51,11
"2022-05-01",26,51,48,10
"2022-06-01",30,52,53,11
"2022-07-01",27,50,57,11
"2022-08-01",25,47,52,11
"2022-09-01",24,45,63,10
"2022-10-01",23,45,50,11
"2022-11-01",24,47,54,11
"2022-12-01",29,55,64,13
"2023-01-01",26,57,66,12
"2023-02-01",21,48,55,10
"2023-03-01",20,46,54,10
"2023-04-01",22,49,58,11
"2023-05-01",20,44,53,10
"2023-06-01",22,47,61,11
"2023-07-01",22,50,59,12
"2023-08-01",19,44,56,10
"2023-09-01",19,43,68,9
"2023-10-01",20,44,59,10
"2023-11-01",21,48,62,11
"2023-12-01",24,54,77,13
"2024-01-01",22,55,67,12
"2024-02-01",19,43,58,9
"2024-03-01",19,44,57,9
"2024-04-01",17,41,54,8
"2024-05-01",16,40,57,8
"2024-06-01",16,45,59,9
"2024-07-01",15,43,53,9
"2024-08-01",16,43,58,9
"2024-09-01",15,42,73,9
"2024-10-01",18,43,56,9
"2024-11-01",16,47,65,10
"2024-12-01",21,56,74,11
"2025-01-01",18,51,69,10
"2025-02-01",14,37,61,8
"2025-03-01",15,41,58,8
"2025-04-01",15,44,60,8
"2025-05-01",15,43,58,9
"2025-06-01",15,43,58,9
"2025-07-01",14,43,59,9
"2025-08-01",14,40,60,8
"2025-09-01",16,41,80,8
"2025-10-01",18,38,65,8
"2025-11-01",18,46,76,9
"2025-12-01",20,51,98,10
"2026-01-01",17,48,100,9
"2026-02-01",15,40,69,8
